start_ip,end_ip,join_key,asn,domain,name,type,country
156.65.249.0,156.65.251.255,156.65.0.0,AS26960,michelinman.com,MICHELIN NORTH AMERICA,business,US
74.220.102.0,74.220.102.255,74.220.0.0,AS18491,virtela.net,NTT Global Networks Incorporated,business,US
2a11:a785:4000::,2a11:a785:7fff:ffff:ffff:ffff:ffff:ffff,2a11:a785:4000::,AS204790,floccus.io,Falco ISP Services B.V.,business,NL
217.150.81.0,217.150.85.255,217.150.0.0,AS60398,citco-lb.net,Communication and International Trading Company S.A.R.L,business,LB
2c0e:36c:8000::,2c0e:36c:bfff:ffff:ffff:ffff:ffff:ffff,2c0e:36c:8000::,AS24863,link.net,Link Egypt (Link.NET),isp,EG
2a09:d7c2:c000::,2a09:d7c2:ffff:ffff:ffff:ffff:ffff:ffff,2a09:d7c2:c000::,AS28771,viennaairport.com,Flughafen Wien Aktiengesellschaft,business,AT
2603:f785:8000::,2603:f785:bfff:ffff:ffff:ffff:ffff:ffff,2603:f785:8000::,AS397165,digitalworkspaces.com,EpicUp Holdings Inc,business,US
2001:b055:c000::,2001:b055:ffff:ffff:ffff:ffff:ffff:ffff,2001:b055:c000::,AS3462,hinet.net,Data Communication Business Group,isp,TW
2600:6:ff0b::,2600:6:ff3f:ffff:ffff:ffff:ffff:ffff,2600:6:c000::,AS1239,sprint.net,Sprint,isp,US
240e:590:4000::,240e:590:7fff:ffff:ffff:ffff:ffff:ffff,240e:590:4000::,AS4134,chinatelecom.com.cn,CHINANET-BACKBONE,isp,CN
2001:2ebf:4000::,2001:2ebf:7fff:ffff:ffff:ffff:ffff:ffff,2001:2ebf:4000::,AS1299,teliacompany.com,Telia Company AB,isp,SE
221.120.192.0,221.120.207.255,221.120.0.0,AS17557,ptcl.com.pk,Pakistan Telecommunication Company Limited,isp,PK
2c0e:2e52:4000::,2c0e:2e52:7fff:ffff:ffff:ffff:ffff:ffff,2c0e:2e52:4000::,AS5713,telkom.co.za,Telkom SA Ltd.,isp,ZA
2601:259:4000::,2601:259:7fff:ffff:ffff:ffff:ffff:ffff,2601:259:4000::,AS7922,comcast.com,"Comcast Cable Communications, LLC",isp,US
64.139.70.0,64.139.70.255,64.139.0.0,AS21508,comcast.com,"Comcast Cable Communications, LLC",isp,US
